Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
The impact of the Affordable Care Act on provision of endodontic services within a dental school setting in Oregon.;31020668;Yes;n/a;2019;;No;US;US;Oregon Health and Science University;US
Impact of the Four-Hour Rule in Western Australian hospitals: Trend analysis of a large record linkage study 2002-2013.;29538401;Yes;n/a;2018;;No;AU;AU;Western Australian Data Linkage System;AU
RD-RAP: beyond rare disease patient registries, devising a comprehensive data and analytic framework.;31300021;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Exo-anal imaging of the anal sphincter: a comparison between introital and transperineal image acquisition.;31802159;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
Development of Phenotyping Algorithms for the Identification of Organ Transplant Recipients: Cohort Study.;33156808;Yes;n/a;2020;;No;US;US;Vanderbilt University Medical Center;US
Scalable and accurate deep learning with electronic health records.;31304302;Yes;n/a;2018;;No;US;US;University of California San Francisco, University of Chicago Medicine;US
Rivaroxaban Versus Warfarin for Management of Obese African Americans With Non-Valvular Atrial Fibrillation or Venous Thromboembolism: A Retrospective Cohort Analysis.;33085526;Yes;n/a;2020;9;No;US;US;Optum;US
Juvenile-onset and adult-onset demodicosis in dogs in the UK: prevalence and breed associations.;31584708;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;;;;;;
The Pediatric Emergency Care Applied Research Network Registry: A Multicenter Electronic Health Record Registry of Pediatric Emergency Care.;29791930;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;
Rivaroxaban versus warfarin for treatment and prevention of recurrence of venous thromboembolism in African American patients: a retrospective cohort analysis.;32292291;Yes;n/a;2020;9;No;US;US;Optum;US
Predictors of severe relapse in pregnant women with psychotic or bipolar disorders.;30015264;Yes;n/a;2018;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Greyhounds under general veterinary care in the UK during 2016: demography and common disorders.;31179010;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Prediction of Discharge Destination following Laryngectomy.;30126321;Yes;n/a;2018;;No;US;US;Multiple;US
Real World Outcomes in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma Receiving Palliative Intent Therapies.;32576502;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
An Exploratory Analysis of Real-World End Points for Assessing Outcomes Among Immunotherapy-Treated Patients With Advanced Non-Small-Cell Lung Cancer.;31335166;Yes;n/a;2019;2;No;US;US;Optum, Flatiron Health;US
The French glioblastoma biobank (FGB): a national clinicobiological database.;31014363;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;
Frequency and phenotype consequence of APOC3 rare variants in patients with very low triglyceride levels.;30255797;Yes;n/a;2018;9;No;US;US;Vanderbilt University Medical Center;US
Pembrolizumab Utilization and Outcomes for Advanced Melanoma in US Community Oncology Practices.;29252916;Yes;n/a;2018;2;No;US;US;US Oncology Network ;US
Validation of an algorithm using inpatient electronic health records to determine the presence and severity of cirrhosis in patients with hepatocellular carcinoma in England: an observational study.;31292182;Yes;n/a;2019;11;No;UK;UK;Leeds Teaching Hospitals NHS Trust;UK
Accelerating ophthalmic artificial intelligence research: the role of an open access data repository.;32740059;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2020;;;;;;
Evaluation of repositories for sharing individual-participant data from clinical studies.;30876434;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;
Incidence Rate of Herpes Zoster Ophthalmicus: A Retrospective Cohort Study from 1994 through 2018.;31668889;Yes;n/a;2020;1;No;US;US;Optum;US
Real-world data suggest antibody positivity to SARS-CoV-2 is associated with a decreased risk of future infection.;33354682;No (excluded before screening);Preprint;2020;;;;;;
Medical knowledge infused convolutional neural networks for cohort selection in clinical trials.;31390470;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Lack of a Tricuspid Regurgitation Doppler Signal and Pulmonary Hypertension by Invasive Measurement.;29960993;Yes;n/a;2018;9;No;US;US;Vanderbilt University Medical Center;US
Local genetic ancestry in CDKN2B-AS1 is associated with primary open-angle glaucoma in an African American cohort extracted from de-identified electronic health records.;30255811;Yes;n/a;2018;7;No;US;US;Vanderbilt University Medical Center;US
Adolescent Nocturnal Fears: a psychometric evaluation of the fear of sleep inventory (FoSI).;29757000;Yes;n/a;2019;5;No;US;US;Multiple;US
Variation in Documenting Diagnosable Chronic Kidney Disease in General Medical Practice: Implications for Quality Improvement and Research.;30879383;Yes;n/a;2019;14;No;AU;AU;NPS MedicineWise;AU
Linking Spinal Cord Injury Data Sets to Describe the Patient Journey Following Injury: A Protocol.;33536728;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
Assessing stroke severity using electronic health record data: a machine learning approach.;31914991;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
West Highland White Terriers under primary veterinary care in the UK in 2016: demography, mortality and disorders.;31508236;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
Comparing the International Classification of Functioning, Disability, and Health Core Sets for Hearing Loss and Otorhinolaryngology/Audiology Intake Documentation at Mayo Clinic.;30289788;Yes;n/a;2019;8;No;US;US;Mayo Clinic;US
HIV/SARS-CoV-2 co-infection: T cell profile, cytokine dynamics and role of exhausted lymphocytes.;33115677;Yes;n/a;2021;1;Yes;RU;;Multiple;RU
Childhood asthma prevalence: cross-sectional record linkage study comparing parent-reported wheeze with general practitioner-recorded asthma diagnoses from primary care electronic health records in Wales.;29333271;Yes;n/a;2018;10;No;UK;UK;SAIL Databank;UK
Data highlighting phenotypic diversity of urine-associated Escherichia coli isolates.;32566710;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
The Genomics Research and Innovation Network: creating an interoperable, federated, genomics learning system.;31481752;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
Natural language processing and recurrent network models for identifying genomic mutation-associated cancer treatment change from patient progress notes.;30944913;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
Discovering Associations Among Older Adults' Characteristics and Planned Nursing Interventions Using Electronic Health Record Data.;30796148;Yes;n/a;2019;;No;US;US;University of Minnesota;US
A Genetic Approach to the Association Between PCSK9 and Sepsis.;31509211;Yes;n/a;2019;1;No;US;US;Vanderbilt University Medical Center;US
Estimating the prevalence of multiple sclerosis using 56.6 million electronic health records from the United States.;31339444;Yes;n/a;2020;6;No;US;US;IBM;US
Generalizability of Blood Pressure Lowering Trials to Older Patients: Cross-Sectional Analysis.;32898307;Yes;n/a;2020;9;No;UK;UK;Multiple;UK
Overlap of Characteristic Serological Antibodies in Rheumatoid Arthritis and Wheat-Related Disorders.;30755781;Yes;n/a;2019;13;No;US;US;Vibrant America Clinical Laboratory;US
Novel Method of Atrial Fibrillation Case Identification and Burden Estimation Using the MIMIC-III Electronic Health Data Set.;31354020;Yes;n/a;2019;9;No;US;US;Massachusetts Institute of Technology;US
Depression and Buprenorphine Treatment in Patients with Non-cancer Pain and Prescription Opioid Dependence without Comorbid Substance Use Disorders.;33022442;Yes;n/a;2021;5;No;US;US;Optum;US
US Integrated Delivery Networks Perspective on Economic Burden of Patients with Treatment-Resistant Depression: A Retrospective Matched-Cohort Study.;31254275;Yes;n/a;2020;5;No;CA;US;Optum;US
Patch test results with the European baseline series and additions thereof in the ESSCA network, 2015-2018.;32945543;Yes;n/a;2021;12;No;DE;UK;Multiple;DE, AT, CH, DK, PT
Heterogeneity introduced by EHR system implementation in a de-identified data resource from 100 non-affiliated organizations.;32025653;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Overall survival analysis in patients with metastatic breast cancer and liver or lung metastases treated with eribulin, gemcitabine, or capecitabine.;32808239;Yes;n/a;2020;2;No;US;US;Cancer Treatment Centers of America;US
Increased Incidence of Resistant Hypertension in Patients With Systemic Lupus Erythematosus: A Retrospective Cohort Study.;30875459;Yes;n/a;2020;13;No;US;US;Vanderbilt University Medical Center;US
Disparities in Hypertension Control Across and Within Three Health Systems Participating in a Data-Sharing Collaborative.;30413545;Yes;n/a;2018;9;No;US;US;Multiple;US
Bacterial Colonization and Tissue Compatibility of Denture Base Resins.;29914101;No (excluded in title and abstract screening);No tabular data;2018;;;;;;
Harnessing the potential of electronic general practice pathology data in Australia: An examination of the quality use of pathology for type 2 diabetes patients.;32534436;Yes;n/a;2020;4;No;AU;AU;Outcome Health;AU
Efficient and Accurate Extracting of Unstructured EHRs on Cancer Therapy Responses for the Development of RECIST Natural Language Processing Tools: Part I, the Corpus.;32364754;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
Is Blockchain Technology Suitable for Managing Personal Health Records? Mixed-Methods Study to Test Feasibility.;30735142;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
CYP2D6 genotype and adverse events to risperidone in children and adolescents.;30661084;Yes;n/a;2019;;No;US;US;Vanderbilt University Medical Center;US
Learning to detect and understand drug discontinuation events from clinical narratives.;31034028;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
Cardiovascular risk factors predicting cardiac events are different in patients with rheumatoid arthritis, psoriatic arthritis, and psoriasis.;29656791;Yes;n/a;2018;9;No;UK;UK;SAIL Databank;UK
Epidemiology of chronic kidney disease in Australian general practice: National Prescribing Service MedicineWise MedicineInsight dataset.;30467996;Yes;n/a;2019;14;No;AU;AU;NPS MedicineWise;AU
Preliminary Results of the Outpatient Endovascular and Interventional Society National Registry.;32813592;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
Use of digital periodontal data to compare periodontal treatment outcomes in a practice-based research network (PBRN): a proof of concept.;33115466;Yes;n/a;2020;11;No;DE;DE;Multiple;DE
