Title;Authors;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Data origin (World Bank income group)
Relationship between very low low-density lipoprotein cholesterol concentrations not due to statin therapy and risk of type 2 diabetes: A US-based cross-sectional observational study using electronic health records.;Feng Q and Wei WQ and Chung CP and Levinson RT and Sundermann AC and Mosley JD and Bastarache L and Ferguson JF and Cox NJ and Roden DM and Denny JC and Linton MF and Edwards DRV and Stein CM;30153257;Yes;n/a;2018;4;No;US;US;Vanderbilt University Medical Center;US;High-income economies
MODELHealth: Facilitating Machine Learning on Big Health Data Networks.;Pitoglou S and Anastasiou A and Androutsou T and Giannouli D and Kostalas E and Matsopoulos G and Koutsouris D;31946332;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;;
Identifying Individuals With Intellectual Disability Within a Population Study.;Franklin MS and Silva SG and Maslow GR and Halpern CT and Merwin EI and Docherty SL;32969948;Yes;n/a;2020;5;No;US;US;Eunice Kennedy Shriver National Institute of Child Health and Human Development ;US;High-income economies
Development of risk models for major adverse chronic renal outcomes among patients with type 2 diabetes mellitus using insurance claims: a retrospective observational study.;Wysham CH and Gauthier-Loiselle M and Bailey RA and Manceur AM and Lefebvre P and Greenberg M and Duh MS and Young JB;31625766;Yes;n/a;2020;4;No;US;US;Optum;US;High-income economies
Development and Evaluation of the Boston University Osteoarthritis Functional Pain Short Form (BU-OA-FPS).;Goode AP and Ni P and Jette A and Fitzgerald GK;29684166;Yes;n/a;2018;13;No;US;US;Boston University;US;High-income economies
COVID-19 in ocrelizumab-treated people with multiple sclerosis.;Hughes R and Whitley L and Fitovski K and Schneble HM and Muros E and Sauter A and Craveiro L and Dillon P and Bonati U and Jessop N and Pedotti R and Koendgen H;33482590;Yes;n/a;2021;6;Yes;CH;CH;Optum;US;High-income economies
Adverse events among chronic myelogenous leukemia patients treated with tyrosine kinase inhibitors: a real-world analysis of health plan enrollees.;Chow EJ and Doody DR and Wilkes JJ and Becker LK and Chennupati S and Morin PE and Winestone LE and Henk HJ and Lyman GH;33283555;Yes;n/a;2021;2;No;US;US;Optum;US;High-income economies
Using Ethereum blockchain to store and query pharmacogenomics data via smart contracts.;Gürsoy G and Brannon CM and Gerstein M;32487214;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;;;;;;;
Real-world effectiveness, its predictors and onset of action of cholinesterase inhibitors and memantine in dementia: retrospective health record study.;Vaci N and Koychev I and Kim CH and Kormilitzin A and Liu Q and Lucas C and Dehghan A and Nenadic G and Nevado-Holgado A;32713359;Yes;n/a;2021;5;No;UK;UK;Oxford Health NHS Foundation Trust,  Southern Health NHS Foundation Trust;UK;High-income economies
HIV Status and Contraceptive Utilization among Women in Cameroon.;Budhwani H and Hearld KR and Dionne-Odom J and Manga S and Nulah K and Khan M and Welty T and Welty E and Tita AT;30776955;Yes;n/a;2019;1;No;US;US;Cameroon Baptist Convention Health Services;CM;Lower-middle-income economies
Kidney cancer biobanking: considerations for a single institutional biorepository.;Del Vecchio SJ and Owens EP and Ellis RJ;31236340;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;;
Association of Social Behaviors With Community Discharge in Patients with Total Hip and Knee Replacement.;Pritchard KT and Hong I and Goodwin JS and Westra JR and Kuo YF and Ottenbacher KJ;33041232;Yes;n/a;2021;;No;US;US;Optum;US;High-income economies
Disease burden of liver cancer in China from 1997 to 2016: an observational study based on the Global Burden of Diseases.;Ding C and Fu X and Zhou Y and Liu X and Wu J and Huang C and Deng M and Li Y and Li L and Yang S;31015269;Yes;n/a;2019;2;No;CN;CN;Institute for Health Metrics and Evaluation;CN;Upper-middle-income economies
Dynamic ElecTronic hEalth reCord deTection (DETECT) of individuals at risk of a first episode of psychosis: a case-control development and validation study.;Raket LL and Jaskolowski J and Kinon BJ and Brasen JC and Jönsson L and Wehnert A and Fusar-Poli P;33328055;Yes;n/a;2020;5;No;DK;UK;IBM;US;High-income economies
A step closer to nationwide electronic health record-based chronic disease surveillance: characterizing asthma prevalence and emergency department utilization from 100 million patient records through a novel multisite collaboration.;Tarabichi Y and Goyden J and Liu R and Lewis S and Sudano J and Kaelber DC;31592525;Yes;n/a;2020;10;No;US;US;Multiple;US;High-income economies
Pharmacological risk factors associated with hospital readmission rates in a psychiatric cohort identified using prescriptome data mining.;Shameer K and Perez-Rodriguez MM and Bachar R and Li L and Johnson A and Johnson KW and Glicksberg BS and Smith MR and Readhead B and Scarpa J and Jebakaran J and Kovatch P and Lim S and Goodman W and Reich DL and Kasarskis A and Tatonetti NP and Dudley JT;30255805;Yes;n/a;2018;5;No;US;US;Mount Sinai Hospital;US;High-income economies
Agreement between primary care and hospital diagnosis of schizophrenia and bipolar disorder: A cross-sectional, observational study using record linkage.;O'Neill B and Kalia S and Aliarzadeh B and Moineddin R and Fung WLA and Sullivan F and Maloul A and Bernard S and Greiver M;30615653;Yes;n/a;2019;5;No;CA;CA;Multiple;CA;High-income economies
Complexity in disease management: A linked data analysis of multimorbidity in Aboriginal and non-Aboriginal patients hospitalised with atherothrombotic disease in Western Australia.;Hussain MA and Katzenellenbogen JM and Sanfilippo FM and Murray K and Thompson SC;30106971;Yes;n/a;2018;9;No;AU;AU;Western Australian Data Linkage System;AU;High-income economies
The real-world effectiveness of sucroferric oxyhydroxide in European hemodialysis patients: a 1-year retrospective database analysis.;Ramos R and Chazot C and Ferreira A and Di Benedetto A and Gurevich K and Feuersenger A and Wolf M and Arens HJ and Walpen S and Stuard S;33287733;Yes;n/a;2020;4;No;ES;DE;Fresenius;FR, IT, PT, RU, ES;
Association of Race/Ethnicity and Sex With Differences in Health Care Use and Treatment for Acne.;Barbieri JS and Shin DB and Wang S and Margolis DJ and Takeshita J;32022834;Yes;n/a;2020;12;No;US;US;Optum;US;High-income economies
The value of preoperative spirometry testing for predicting postoperative risk in upper abdominal and thoracic surgery assessed using big-data analysis.;Park HJ and Kim SM and Kim HR and Ji W and Choi CM;32944327;Yes;n/a;2020;10;No;KR;KR;Asan Medical Center;KR;High-income economies
Prenatal, Obstetric and Perinatal Factors Associated With the Development of Childhood-Onset Type 2 Diabetes.;Halipchuk J and Temple B and Dart A and Martin D and Sellers EAC;28583472;Yes;n/a;2018;4;No;CA;CA;Manitoba Centre for Health Policy;CA;High-income economies
Learning Health System for Breast Cancer: Pilot Project Experience.;Levine MN and Alexander G and Sathiyapalan A and Agrawal A and Pond G;31369338;Yes;n/a;2019;2;No;CA;CA;Juravinski Cancer Centre;CA;High-income economies
Treatment patterns and outcomes for patients with advanced melanoma in US oncology clinical practices.;Whitman ED and Liu FX and Cao X and Diede SJ and Haiderali A and Abernethy AP;30251550;Yes;n/a;2019;2;No;US;US;Flatiron Health;US;High-income economies
Individualised risk prediction model for new-onset, progression and regression of chronic kidney disease in a retrospective cohort of patients with type 2 diabetes under primary care in Hong Kong.;Yang L and Chu TK and Lian J and Lo CW and Zhao S and He D and Qin J and Liang J;32641324;Yes;n/a;2020;4;No;HK;HK;New Territory West Cluster;HK;
Evaluating Pediatric Sepsis Definitions Designed for Electronic Health Record Extraction and Multicenter Quality Improvement.;Scott HF and Brilli RJ and Paul R and Macias CG and Niedner M and Depinet H and Richardson T and Riggs R and Gruhler H and Larsen GY and Huskins WC and Balamuth F;32931197;Yes;n/a;2020;1;No;US;US;Multiple;US;High-income economies
Cohort profile: the Nigerian HIV geriatric cohort study.;Dakum P and Avong YK and Odutola MK and Okuma J and Kayode GA and Nta IE and Ndembi N and Mensah C and Khamofu H and Okonkwo P and Okpanachi JO and Ezeanolue E;33243227;Yes;n/a;2020;1;No;NG;NG;Multiple;NG;Lower-middle-income economies
Clinical Research Informatics: Contributions from 2017.;Daniel C and Kalra D;30157521;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;;
High Frequency of Extractable Nuclear Autoantibodies in Wheat-Related Disorders.;Yang Y and Krishna K and Deshpande P and Ranganathan V and Jayaraman V and Wang T and Bei K and Krishnamurthy H;29977112;Yes;n/a;2018;11;No;US;US;Vibrant America Clinical Laboratory;US;High-income economies
Risk factors for having diabetic retinopathy at first screening in persons with type 1 diabetes diagnosed under 18 years of age.;Rafferty J and Owens DR and Luzio SD and Watts P and Akbari A and Thomas RL;33262478;Yes;n/a;2021;4;No;UK;UK;SAIL Databank;UK;High-income economies
Real-world progression, treatment, and survival outcomes during rapid adoption of immunotherapy for advanced non-small cell lung cancer.;Khozin S and Miksad RA and Adami J and Boyd M and Brown NR and Gossai A and Kaganman I and Kuk D and Rockland JM and Pazdur R and Torres AZ and Zhi J and Abernethy AP;31381142;Yes;n/a;2019;2;No;US;US;Flatiron Health;US;High-income economies
Character-Level Neural Language Modelling in the Clinical Domain.;Kreuzthaler M and Oleynik M and Schulz S;32570351;No (excluded in title and abstract screening);No tabular data;2020;;;;;;;
Exploring the health and service utilisation of general practice patients with a history of adverse childhood experiences (ACEs): an observational study using electronic health records.;Hardcastle K and Bellis MA and Sharp CA and Hughes K;32978186;Yes;n/a;2020;;No;UK;UK;Multiple;UK;High-income economies
Functional mobility trajectories of hospitalized older adults admitted to acute geriatric wards: A retrospective observational study in an English university hospital.;Lyons A and Romero-Ortuno R and Hartley P;30779283;Yes;n/a;2019;;No;UK;UK;Addenbrooke’s Hospital;UK;High-income economies
Clinical and genetic associations with prostacyclin response in pulmonary arterial hypertension.;Halliday SJ and Xu M and Thayer TE and Mosley JD and Sheng Q and Ye F and Farber-Eger EH and Pugh ME and Robbins IR and Assad TR and West JD and Brittain EL and Hemnes AR;30142026;Yes;n/a;2018;9;No;US;US;Vanderbilt University Medical Center;US;High-income economies
Multifocal motor neuropathy in Austria: a nationwide survey of clinical features and response to treatment.;Löscher WN and Oberreiter EM and Erdler M and Quasthoff S and Culea V and Berek K and Embacher N and Grinzinger S and Hess I and Höger FS and Horlings CGC and Huemer M and Jecel J and Kleindienst W and Laich E and Müller P and Oel D and Örtl W and Lenzenweger E and Rath J and Stadler K and Stieglbauer K and Thaler-Wolf C and Wanschitz J and Zimprich F and Cetin H and Topakian R;30259176;Yes;n/a;2018;6;No;AT;AT;Multiple;AT;High-income economies
USE OF ELECTRONIC HEALTH RECORDS TO CHARACTERIZE A RARE DISEASE IN THE U.S.: TREATMENT, COMORBIDITIES, AND FOLLOW-UP TRENDS AMONG PATIENTS WITH A CONFIRMED DIAGNOSIS OF ACROMEGALY.;Silverstein JM and Roe ED and Munir KM and Fox JL and Emir B and Kouznetsova M and Lamerato LE and King D;29624099;Yes;n/a;2018;4;No;US;US;Multiple;US;High-income economies
Concordance of real-world versus conventional progression-free survival from a phase 3 trial of endocrine therapy as first-line treatment for metastatic breast cancer.;Huang Bartlett C and Mardekian J and Cotter MJ and Huang X and Zhang Z and Parrinello CM and Bourla AB;32315295;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
Acute myocardial infarctions and stroke triggered by laboratory-confirmed respiratory infections in Denmark, 2010 to 2016.;Ohland J and Warren-Gash C and Blackburn R and Mølbak K and Valentiner-Branth P and Nielsen J and Emborg HD;32372757;Yes;n/a;2020;9;No;DK;DK;Multiple;DK;High-income economies
External validation of the electronic Frailty Index using the population of Wales within the Secure Anonymised Information Linkage Databank.;Hollinghurst J and Fry R and Akbari A and Clegg A and Lyons RA and Watkins A and Rodgers SE;31566668;Yes;n/a;2019;18;No;UK;UK;SAIL Databank;UK;High-income economies
Retention in care among older adults living with HIV in western Kenya: A retrospective observational cohort study.;Kiplagat J and Mwangi A and Keter A and Braitstein P and Sang E and Negin J and Chasela C;29590150;Yes;n/a;2018;1;No;KE;ZA;Multiple;KE;Lower-middle-income economies
Assessing the National Prevalence of HIV Screening in the United States using Electronic Health Record Data.;Niforatos JD and Wanta JW and Durbak E and Cavendish J and Yax JA;31501734;Yes;n/a;2019;1;No;US;US;IBM;US;High-income economies
Effect of Public Deliberation on Patient Attitudes Regarding Consent and Data Use in a Learning Health Care System for Oncology.;Jagsi R and Griffith KA and Jones RD and Krenz C and Gornick M and Spence R and De Vries R and Hawley ST and Zon R and Bolte S and Sadeghi N and Schilsky RL and Bradbury AR;31577472;No (excluded in title and abstract screening);Anonymous survey;2019;;;;;;;
